what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.0.201106081058,"org.eclipse.cdt.dsf.gdb.ui",1314367954073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314367954252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314367957765
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314367958917
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.v20110510,"org.eclipse.equinox.p2.updatesite",1314367965496
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110511,"org.eclipse.equinox.p2.publisher",1314367965497
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.v20110511,"org.eclipse.equinox.p2.publisher.eclipse",1314367965621
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110510,"org.eclipse.equinox.p2.extensionlocation",1314367967831
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.100.v20110519,"org.eclipse.equinox.p2.artifact.repository",1314367967843
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.0.v20110511,"org.eclipse.equinox.p2.touchpoint.eclipse",1314367967867
started,bundle,org.eclipse.equinox.p2.director,2.1.0.v20110504-1715,"org.eclipse.equinox.p2.director",1314367967973
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1314367967980
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314367976242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314367976956
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314367987205
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314367997328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314368011630
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314368016382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314368017487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369172546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369175187
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1314369176609
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.0.201106081058,"org.eclipse.cdt.managedbuilder.ui",1314369177418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314369199210
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369199230
